Date,Open,High,Low,Close,Adj Close,Volume
03-03-2004,70.349998,70.599998,69.949997,70.599998,53.912773,109700
04-03-2004,70,70.019997,69.519997,69.790001,53.294231,92000
05-03-2004,69.949997,70.639999,69.949997,70.540001,53.866959,87700
08-03-2004,70.5,70.75,70.010002,70.040001,53.485142,91800
09-03-2004,71.099998,71.099998,70,70.220001,53.622608,170100
10-03-2004,70.470001,70.5,69.080002,69.120003,52.782597,96100
11-03-2004,69.400002,69.699997,68.739998,68.779999,52.522961,163200
12-03-2004,69.099998,70.209999,69.099998,70.059998,53.500416,83400
15-03-2004,70.059998,70.059998,69.110001,69.300003,52.920044,106000
16-03-2004,69.940002,70,69,69.760002,53.271324,128500
17-03-2004,70.5,71.269997,70.5,71.139999,54.325146,120100
18-03-2004,71.050003,71.050003,70.400002,70.690002,53.98151,53100
19-03-2004,70.629997,71.199997,70.25,70.379997,53.744789,130800
22-03-2004,68.970001,68.980003,68.25,68.690002,52.454239,135200
23-03-2004,70.400002,70.519997,69.519997,70.110001,53.538597,122400
24-03-2004,69.860001,69.870003,69.529999,69.739998,53.256046,77700
25-03-2004,70.75,71.150002,70.300003,71.059998,54.264046,164600
26-03-2004,72.139999,73.589996,71.849998,73.010002,56.048923,251000
29-03-2004,74.300003,75.879997,74.199997,74.260002,57.008549,238700
30-03-2004,74.449997,74.699997,74.230003,74.419998,57.131371,74500
31-03-2004,74.419998,74.900002,74.25,74.5,57.192802,81000
01-04-2004,72.459999,73.550003,72.459999,73.040001,56.071957,181000
02-04-2004,73.75,74.269997,73.550003,73.760002,56.624695,125600
05-04-2004,74.400002,74.900002,74.25,74.900002,57.499851,98200
06-04-2004,74.32,74.32,73.800003,74.040001,56.839642,76500
07-04-2004,74.050003,74.120003,73.400002,73.699997,56.578632,100200
08-04-2004,74.300003,74.5,73.82,74,56.808945,67100
12-04-2004,73.5,74.410004,73.5,74.360001,57.085316,76900
13-04-2004,73.519997,73.599998,72.349998,72.699997,55.810947,171900
14-04-2004,71.599998,72,71.43,71.900002,55.196789,105700
15-04-2004,70.900002,71.480003,70.709999,71.050003,54.544266,173500
16-04-2004,71.800003,73.18,71.800003,72.82,55.903065,144800
19-04-2004,72.699997,72.870003,72.410004,72.769997,55.864674,44200
20-04-2004,73.150002,74.199997,73.150002,73.309998,56.279228,149300
21-04-2004,73,74.120003,73,73.760002,56.624695,60100
22-04-2004,74.830002,76.550003,74.830002,76.32,58.58997,402100
23-04-2004,75.800003,76,75.209999,75.75,58.152397,76300
26-04-2004,75.720001,75.720001,74.720001,74.949997,57.538246,70200
27-04-2004,75.150002,75.150002,74.580002,75,57.57663,64100
28-04-2004,74.199997,74.199997,73.5,73.760002,56.624695,76000
29-04-2004,73.769997,73.860001,72.199997,72.57,55.711147,140500
30-04-2004,72.650002,73.470001,72.650002,73.209999,56.202473,89600
03-05-2004,73.309998,74.669998,72.449997,72.480003,55.642056,208200
04-05-2004,72.68,73.900002,72.68,73.769997,56.632378,94400
05-05-2004,73.849998,74.480003,73.809998,74.059998,56.854996,109500
06-05-2004,72.050003,72.269997,71.010002,71.550003,54.928089,199300
07-05-2004,69,69.889999,69,69.699997,53.507874,218800
10-05-2004,66.849998,66.870003,65.650002,66.709999,51.212494,362000
11-05-2004,67.5,68.800003,67.5,68.370003,52.486858,332200
12-05-2004,69.480003,70.75,69.260002,69.860001,53.630707,280400
13-05-2004,68.669998,69.199997,68.089996,69.029999,52.99353,253500
14-05-2004,68.32,68.32,67.889999,68.080002,52.264229,191900
17-05-2004,67.349998,67.959999,66.949997,67.449997,51.780579,266600
18-05-2004,68.550003,69.300003,68.410004,69,52.970486,230600
19-05-2004,69.559998,70.300003,68.949997,68.949997,52.932114,230600
20-05-2004,68.5,68.68,67.839996,68.57,52.640388,143800
21-05-2004,69.900002,69.959999,69.120003,69.279999,53.185452,114600
24-05-2004,69.529999,70.050003,69.059998,69.209999,53.131706,175300
25-05-2004,68.599998,69.82,68.480003,69.800003,53.584656,131100
26-05-2004,70.150002,70.269997,69.790001,69.93,53.68446,171400
27-05-2004,70.699997,71.830002,70.699997,71.099998,54.582645,181300
28-05-2004,72,72.75,71.900002,72.349998,55.542255,162600
01-06-2004,72.800003,73.830002,72.599998,72.769997,55.864674,220000
02-06-2004,72.599998,73.169998,71.949997,72.879997,55.949127,180300
03-06-2004,73.309998,73.949997,72.989998,73.169998,56.171749,248200
04-06-2004,73.970001,74.860001,73.900002,74.559998,57.238846,630300
07-06-2004,75.540001,76.889999,75.540001,76.709999,58.889393,557900
08-06-2004,75.949997,76.349998,75.5,76.010002,58.351986,623400
09-06-2004,75.75,76.220001,74.93,75,57.57663,668300
10-06-2004,75.949997,76.550003,75.949997,76.379997,58.636032,412100
14-06-2004,75.449997,75.480003,74.68,74.989998,57.568943,367100
15-06-2004,77,78.690002,76.510002,77.900002,59.802937,484100
16-06-2004,78.550003,78.790001,78.059998,78.540001,60.294247,423600
17-06-2004,78.779999,78.779999,78.150002,78.150002,59.994843,172300
18-06-2004,78.5,79.589996,78.5,79.300003,60.877693,263300
21-06-2004,80.720001,81.300003,80.309998,80.43,61.745178,329500
22-06-2004,80.440002,80.669998,79.43,79.93,61.361332,179700
23-06-2004,80.449997,81.199997,79.900002,81.199997,62.336285,327100
24-06-2004,81.25,81.480003,80.779999,80.779999,62.013874,111900
25-06-2004,80.099998,80.389999,79.610001,79.760002,61.230835,330100
28-06-2004,81.199997,81.389999,79.949997,80,61.415085,107300
29-06-2004,80.650002,81.949997,80.620003,81.730003,62.743179,288300
30-06-2004,81.580002,81.870003,80.690002,81.620003,62.658718,172300
01-07-2004,82.620003,82.940002,81.839996,82.120003,63.04258,254200
02-07-2004,81.699997,81.870003,81.510002,81.550003,62.604977,508300
06-07-2004,80.150002,80.339996,79.410004,79.470001,61.008205,364700
07-07-2004,78.25,78.699997,77.760002,78.589996,60.332619,216600
08-07-2004,77.889999,77.919998,76.82,77.07,59.165752,275700
09-07-2004,78,79.349998,77.879997,79.010002,60.655067,184100
12-07-2004,79.849998,80,79.25,79.790001,61.253841,155900
13-07-2004,82.160004,82.93,81.769997,82.889999,63.633686,237800
14-07-2004,80.169998,80.830002,79.5,79.639999,61.138699,483100
15-07-2004,80.639999,80.650002,79.559998,79.620003,61.123344,171400
16-07-2004,79.620003,79.849998,79.400002,79.419998,60.96981,152900
19-07-2004,79.25,79.660004,79.050003,79.07,60.701103,155100
20-07-2004,78.620003,79,78.25,78.760002,60.463146,148800
21-07-2004,79.300003,79.480003,78.18,78.190002,60.025558,440400
22-07-2004,78.43,78.940002,77.660004,78.230003,60.056274,240600
23-07-2004,78.050003,78.25,76.949997,77.209999,59.273235,357500
26-07-2004,78.5,78.580002,77.290001,77.739998,59.680096,151500
27-07-2004,77.470001,78.449997,77.360001,78.300003,60.110004,427100
28-07-2004,78.650002,78.650002,77.720001,78.599998,60.340298,205600
29-07-2004,78.599998,79.279999,78.360001,78.93,60.593643,156800
30-07-2004,79.940002,80.169998,79.699997,80,61.415085,136100
02-08-2004,79.75,79.949997,79,79.800003,61.261524,145300
03-08-2004,79.5,80.279999,79.029999,79.400002,60.954456,215900
04-08-2004,77.879997,78.379997,77.290001,78.239998,60.063938,383200
05-08-2004,77.300003,77.43,76.160004,76.220001,58.513218,381300
06-08-2004,74.940002,74.989998,74.190002,74.230003,56.985516,309900
09-08-2004,76.099998,76.110001,75.349998,75.400002,57.883713,156200
10-08-2004,75.610001,75.650002,74.879997,75.120003,57.668747,190600
11-08-2004,76.199997,76.5,75.889999,76.300003,58.574635,221700
12-08-2004,76.32,76.349998,75.25,75.330002,57.829979,129400
13-08-2004,74.790001,75.410004,74.379997,75.309998,57.814606,243600
16-08-2004,74.25,75.089996,74.239998,74.989998,57.568943,225500
17-08-2004,74.540001,75.209999,74.540001,74.68,57.330963,339300
18-08-2004,75.699997,76.150002,75.029999,76.150002,58.45948,247500
19-08-2004,75.400002,75.580002,74.940002,75.290001,57.799259,273200
20-08-2004,75.300003,76.5,75.199997,76.25,58.536228,226000
23-08-2004,76.209999,76.309998,75.580002,75.830002,58.213814,146200
24-08-2004,77.199997,77.510002,76.650002,77.010002,59.119694,119200
25-08-2004,78.480003,79.010002,78.120003,78.790001,60.486156,185600
26-08-2004,80.080002,80.199997,79.849998,79.970001,61.392048,223500
27-08-2004,79.980003,80.220001,79.550003,79.989998,61.407391,103600
30-08-2004,79.889999,79.889999,79.389999,79.489998,61.02354,123500
31-08-2004,78.839996,79.290001,78.669998,79.190002,60.793243,124200
01-09-2004,79.800003,80.099998,79.43,79.75,61.223145,101600
02-09-2004,79.5,80.050003,79.18,80.050003,61.453453,178700
03-09-2004,77,77.900002,77,77.239998,59.296242,609900
07-09-2004,78.419998,78.419998,77.620003,78.150002,59.994843,241800
08-09-2004,78.199997,78.199997,77.699997,77.760002,59.695457,159400
09-09-2004,77.5,77.599998,76.800003,77.230003,59.288574,179700
10-09-2004,76.900002,77.639999,76.879997,77.190002,59.25787,154900
13-09-2004,78,78.089996,77.580002,77.650002,59.610996,387500
14-09-2004,78.349998,78.349998,77.849998,77.989998,59.872017,189000
15-09-2004,77.699997,77.699997,77,77,59.111992,278200
